Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,219.646,33.701,393,20,222,222,-0.746,6.878,91803,3623733.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,258.833,13.822,286,237,259,249,0.293,-0.789,24,947.350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,220.256,23.008,346,3,221,222,-0.520,7.059,90293,3564129.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,226.200,25.231,364,58,224,227,0.811,5.302,81527,3218109.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,287.000,0.000,287,287,287,287,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,228.791,20.849,359,43,227,227,0.520,3.534,89209,3521340.866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,220.755,23.663,372,11,220,222,-0.034,6.052,96564,3811664.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,230.971,21.985,341,51,228,227,0.437,4.739,98013,3868860.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,217.227,28.950,366,32,217,219,-0.458,6.650,66547,2626805.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,226.917,22.063,354,34,226,227,0.040,4.445,83744,3305621.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,220.469,30.640,399,9,222,222,-1.230,9.174,70101,2767092.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,226.916,31.335,369,31,226,221,-0.072,3.361,77936,3076362.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,234.589,24.091,368,52,231,232,0.867,4.863,90729,3581339.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,294.000,0.000,294,294,294,294,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,289.000,0.000,289,289,289,289,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,302.000,0.000,302,302,302,302,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,294.308,5.075,302,286,294,290,0.308,-1.048,13,513.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,192.000,0.000,192,192,192,192,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,195.000,0.000,195,195,195,195,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,207.000,0.000,207,207,207,207,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,203.000,0.000,203,203,203,203,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,221.000,0.000,221,221,221,221,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,171.000,0.000,171,171,171,171,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,146.000,0.000,146,146,146,146,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,168.000,4.000,172,164,172,164,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,214.000,0.000,214,214,214,214,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,225.000,1.000,226,224,226,224,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,230.000,0.000,230,230,230,230,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,229.500,2.500,232,227,232,227,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,222.000,0.000,222,222,222,222,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,252.833,8.308,264,233,256,260,-1.017,0.167,18,710.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,220.000,1.225,222,219,220,219,0.816,-1.000,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,221.500,1.500,223,220,223,220,0.000,-2.000,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,232.722,20.928,287,201,231,209,1.013,0.425,36,1421.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,259.000,0.000,259,259,259,259,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,256.000,0.000,256,256,256,256,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,261.000,0.000,261,261,261,261,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,218.039,35.350,369,3,222,227,-1.649,6.107,61814,2439979.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,288.500,1.500,290,287,290,287,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,290.000,0.000,290,290,290,290,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,230.923,22.417,367,7,229,230,0.056,9.037,71285,2813828.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,226.523,31.268,397,10,225,227,-0.061,9.668,72420,2858629.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,222.995,28.966,376,21,222,222,-0.580,7.669,72592,2865419.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,178.000,7.772,190,170,175,170,0.452,-1.432,5,197.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,191.000,0.000,191,191,191,191,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,217.875,32.850,395,32,219,222,-0.797,5.594,56304,2222484.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
