Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,71772,2847918.656,25086.478,0.057,1,3351.181,4409.449,283.465,12598.425,3643.219,6742.996,3643.219,6742.996,7163.012,359.421,88.108,19.929,7600243.040,0.375,12333.738,86.838,3698.718,6458.407,12333.410,834.236,87.255,12520.404,1.015,4100.787,12119.685,144.882,225.678,43.209
2,62990,2499448.199,22440.900,0.062,1,9146.457,9889.764,743.307,11874.016,9561.961,6427.594,9561.961,6427.594,6376.353,343.843,-88.355,18.544,5984470.209,0.418,11130.773,89.805,9527.837,6309.855,11130.755,718.117,90.297,11293.318,1.015,9562.205,8390.551,125.984,222.019,44.820
3,81313,3226506.293,27332.440,0.054,1,13322.835,14765.354,1083.465,14387.402,13912.907,8045.477,13912.907,8045.477,7651.033,513.404,-89.162,14.903,10665846.612,0.303,13325.394,86.748,13772.441,7765.196,13325.313,1312.785,86.948,13645.444,1.024,14066.142,6400.000,138.583,232.741,49.232
4,49103,1948410.937,18249.694,0.074,1,1039.370,1581.102,2822.047,11955.906,1326.981,7576.241,1326.981,7576.241,5120.462,212.175,-88.711,24.133,3720166.160,0.524,9134.121,90.435,1310.236,7388.976,9133.858,541.732,90.000,9248.594,1.013,1360.630,7892.913,132.283,211.213,34.957
