Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,91803,3623733.653,31416.660,0.046,0,50349.949,51424.299,559.165,16247.188,51049.140,8579.465,51049.140,8579.465,9047.699,216.154,88.257,41.858,8192370.373,0.442,15708.622,87.066,51010.028,8392.051,15708.233,634.313,87.469,15850.207,1.009,51041.051,6420.969,131.938,225.364,60.067
2,24,947.350,180.984,0.363,1,60817.009,60867.271,910.999,980.109,60842.925,942.151,60842.925,942.151,44.890,7.217,-60.126,6.220,1223.661,0.774,85.455,126.027,60842.140,945.554,84.292,19.668,116.565,85.535,1.001,60848.422,910.999,6.283,12.327,6.807
3,90293,3564129.525,31064.851,0.046,1,54823.266,56016.989,923.564,16335.147,55597.616,8867.150,55597.616,8867.150,8961.703,241.518,-89.094,37.106,9672565.882,0.368,15439.231,93.429,55651.703,8640.858,15438.893,851.096,93.050,15600.155,1.010,55640.024,3543.470,125.655,224.432,62.075
4,81527,3218109.796,26635.730,0.057,1,60389.782,61043.188,998.957,14412.626,60590.421,7944.314,60590.421,7944.314,7597.045,215.961,-89.183,35.178,5708812.385,0.564,13419.884,91.744,60619.087,7701.592,13419.594,540.078,91.367,13496.691,1.006,60534.285,11974.919,144.503,238.616,46.700
5,1,39.473,16.847,1.748,1,60590.830,60597.112,1061.785,1068.067,60593.971,1064.926,60593.971,1064.926,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,60593.971,1064.926,6.283,6.283,90.000,8.885,1.000,60590.830,1061.785,6.283,11.565,0.707
6,89209,3521340.866,30654.179,0.047,1,42923.740,44192.855,1262.833,16423.105,43386.213,9043.509,43386.213,9043.509,8626.175,475.577,87.253,18.138,10314869.445,0.341,15168.191,88.149,43420.748,8855.877,15167.598,973.981,87.642,15410.415,1.016,43935.263,14789.591,138.220,225.454,55.746
7,96564,3811664.287,32951.996,0.044,1,39744.669,41717.452,1847.128,18006.358,40306.992,10128.074,40306.992,10128.074,9377.652,562.276,-84.636,16.678,14279215.036,0.267,16210.977,94.579,40457.317,9888.533,16210.924,1234.364,94.726,16535.027,1.020,39882.890,12050.312,131.938,229.585,62.662
8,98013,3868860.566,31458.821,0.049,0,36182.351,37131.046,2067.024,17560.283,36719.095,9853.901,36719.095,9853.901,8940.749,263.274,-87.476,33.960,9154009.963,0.423,15494.405,90.697,36684.013,9816.213,15494.335,770.376,90.869,15674.290,1.012,36973.977,6044.004,144.503,238.814,54.235
9,66547,2626805.262,23109.136,0.062,1,63405.501,64002.362,2167.548,13759.220,63712.539,8143.359,63712.539,8143.359,6588.692,266.543,89.870,24.719,5051311.742,0.520,11592.496,89.317,63717.598,7963.156,11592.252,567.639,89.688,11657.101,1.006,63795.032,9920.460,131.938,224.180,44.177
10,83744,3305621.288,28522.585,0.051,1,20148.775,21015.795,2613.624,16837.767,20551.693,9937.134,20551.693,9937.134,8129.751,295.941,87.531,27.471,8274868.803,0.399,14224.232,90.202,20547.742,9727.810,14216.910,686.335,88.247,14398.892,1.012,20632.547,11076.486,138.220,227.938,52.087
