Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
15,245.372,25.182,406,169,240,238,1.808,4.893,71422,2819235.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,219.067,33.263,445,17,215,214,1.155,8.371,80400,3173623.800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,219.452,31.122,374,62,213,214,1.448,4.219,73168,2888155.550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,214.225,37.461,410,35,210,214,0.965,4.951,62164,2453795.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,221.850,32.692,354,107,213,214,1.699,3.181,65962,2603713.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,263.500,1.500,265,262,265,262,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,219.292,33.445,366,53,212,214,1.145,2.860,80836,3190833.999,323.000,0.000,323,323,323,NaN,0.000,-1.200
22,212.538,27.338,341,72,208,201,0.879,3.468,50324,1986435.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,225.951,34.043,351,65,215,214,0.972,0.851,54537,2152735.338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,238.440,41.362,440,41,239,273,0.019,1.391,44260,1747072.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,222.973,26.630,413,14,218,214,0.843,4.388,52406,2068618.518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,229.667,4.460,235,223,232,223,-0.286,-1.466,6,236.838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,271.318,8.466,284,248,272,281,-0.803,0.706,22,868.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,279.500,7.399,291,273,281,273,0.602,-1.243,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,221.375,33.786,391,4,217,214,0.376,4.393,45428,1793176.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,312.750,5.761,321,305,314,305,0.121,-1.127,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,315.593,6.723,326,301,316,320,-0.362,-0.810,27,1065.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,216.941,6.024,226,206,218,213,-0.195,-1.186,34,1342.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,305.000,0.000,305,305,305,305,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,300.833,6.256,309,290,305,298,-0.427,-0.938,6,236.838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,307.849,8.208,326,287,309,309,-0.179,-0.330,53,2092.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,236.282,7.948,251,224,237,230,-0.068,-1.254,39,1539.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,244.500,1.500,246,243,246,243,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,311.833,4.375,316,305,316,316,-0.294,-1.538,6,236.838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,389.000,0.000,389,389,389,389,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,431.000,0.000,431,431,431,431,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,318.000,2.000,319,314,319,319,-1.500,0.250,5,197.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,257.500,12.600,276,244,262,244,0.388,-1.424,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,278.000,0.000,278,278,278,278,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,288.000,2.944,292,285,287,285,0.470,-1.500,3,118.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,323.000,0.000,323,323,323,323,0.000,-1.200,1,39.473,219.292,33.445,366,53,212,214,1.145,2.860
