Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,231.680,31.427,357,30,225,221,0.641,1.326,80357,3171926.464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,226.292,32.244,367,88,217,214,1.407,2.101,91364,3606405.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,220.717,31.735,445,0,215,214,2.022,9.036,92044,3633246.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,213.200,4.118,221,209,212,209,1.111,-0.192,5,197.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,216.500,3.775,220,211,220,220,-0.390,-1.498,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,231.800,19.783,265,211,223,211,0.610,-1.312,15,592.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,234.435,43.739,445,100,220,214,2.001,4.296,76638,3025126.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,219.000,0.000,219,219,219,219,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,221.292,32.566,392,61,216,214,1.336,4.754,91887,3627049.380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,221.099,27.614,395,57,217,214,1.649,6.851,79953,3155979.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,213.422,27.790,366,36,212,214,0.351,4.895,73653,2907299.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,215.846,28.036,357,7,214,214,-4.907E-4,5.162,72820,2874418.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,226.851,30.453,370,24,220,214,1.436,3.430,80667,3184163.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,216.631,26.941,371,87,211,209,1.902,5.970,55598,2194616.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
