Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,210.380,29.088,361,0,208,207,-1.263,14.058,76492,3019363.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,219.497,28.248,341,3,213,214,1.454,4.268,76474,3018653.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,217.255,29.319,345,88,209,207,1.644,3.478,52617,2076947.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,210.533,33.115,413,1,209,214,-0.577,9.137,37017,1461169.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
