Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,84734,3344699.491,31120.225,0.043,-1,3549.753,4756.041,1137.178,15713.155,4235.178,8704.486,4235.178,8704.486,8326.286,578.213,87.305,14.400,10612337.467,0.315,14581.015,88.494,4217.544,8415.898,14580.934,961.165,88.303,14937.953,1.024,4592.689,9650.302,131.938,209.431,56.610
2,68245,2693830.302,25482.023,0.052,-4,11365.493,12735.132,3493.208,15606.348,11746.027,9855.568,11746.027,9855.568,6897.160,502.641,86.649,13.722,9116708.041,0.295,12138.167,86.320,11845.794,9575.922,12138.137,991.693,86.194,12487.681,1.029,11503.713,7049.244,138.220,204.010,45.173
3,65236,2575056.247,23368.002,0.059,1,7935.112,9047.158,4416.772,15260.797,8640.333,10031.738,8640.333,10031.738,6206.238,466.343,-88.534,13.308,7799930.475,0.330,10845.073,90.797,8588.483,9840.997,10837.894,900.418,92.881,11110.502,1.024,8751.869,11799.002,182.200,215.142,30.490
