Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,35626,1413642.507,13246.232,0.101,1,8604.724,9196.850,1713.386,8125.984,8888.682,4986.270,8888.682,4986.270,3636.730,246.693,-88.677,14.742,2711260.463,0.521,6414.096,91.238,8888.604,4918.183,6413.523,566.780,90.472,6515.995,1.016,8730.709,4963.780,125.984,212.444,25.860
2,34869,1383604.687,12264.564,0.116,1,12932.283,14103.937,2148.031,7924.409,13419.852,5163.637,13419.852,5163.637,3278.215,288.345,78.685,11.369,2756217.992,0.502,5839.968,81.127,13380.358,5048.258,5836.526,630.659,79.160,5951.586,1.019,13455.118,5732.283,138.583,225.524,21.473
3,32783,1300832.042,11602.360,0.121,1,4907.087,5530.709,3092.913,8743.307,5191.670,5934.247,5191.670,5934.247,3184.878,155.853,84.845,20.435,1789254.139,0.727,5663.444,86.110,5185.147,5914.010,5662.620,366.700,85.132,5728.593,1.012,5177.953,6091.339,132.283,222.212,21.653
4,32627,1294641.949,11878.898,0.115,1,1644.094,2507.087,3760.630,9064.567,2091.207,6523.492,2091.207,6523.492,2982.637,291.511,84.322,10.232,3003821.688,0.431,5305.287,91.293,2071.965,6406.328,5288.507,692.597,86.532,5475.365,1.032,2217.323,8472.441,151.181,212.407,18.109
5,256,10158.100,353.023,1.024,1,12151.181,12264.567,9039.370,9152.756,12207.874,9096.063,12207.874,9096.063,56.842,56.842,-1.118,1.000,10316.821,0.985,119.519,18.435,12207.874,9096.063,113.386,113.386,0.000,122.294,1.023,12201.575,9083.465,50.394,99.787,1.213
