Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,47021,1856056.775,16021.638,0.091,1,1457.598,2431.424,766.495,8487.994,2002.692,4789.142,2002.692,4789.142,4380.891,287.907,-86.530,15.216,3736784.133,0.497,7758.218,95.577,2055.304,4638.669,7756.833,627.449,94.494,7878.656,1.016,2016.762,3606.298,144.503,236.941,27.261
2,57411,2266180.547,18760.231,0.081,1,4140.331,5428.295,1357.074,10196.901,5035.820,5987.109,5035.820,5987.109,4939.853,285.732,-85.300,17.288,5458356.626,0.415,8893.306,96.287,4990.117,5803.377,8893.217,798.641,96.031,9035.939,1.016,4693.213,9417.840,163.351,238.820,27.658
3,47913,1891266.631,15289.610,0.102,1,6502.645,8173.856,2776.975,9744.543,7652.119,6593.764,7652.119,6593.764,4194.501,437.842,-79.682,9.580,4748317.510,0.398,7091.053,101.499,7660.730,6314.906,7090.838,921.736,101.945,7244.099,1.022,6753.955,9468.102,207.331,243.907,17.470
