Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,88569,3496078.189,29550.022,0.050,1,1375.922,2481.686,854.454,15392.735,1986.021,8347.480,1986.021,8347.480,8376.773,250.470,86.683,33.444,8555639.774,0.409,14546.538,88.069,1955.812,8119.384,14546.046,805.618,88.540,14723.083,1.012,2098.438,8777.000,144.503,229.496,50.944
2,85913,3391238.079,28584.441,0.052,1,3813.629,4661.800,1357.074,15549.803,4098.413,8652.160,4098.413,8652.160,8097.036,246.827,89.111,32.805,8497417.198,0.399,14196.489,88.681,4183.597,8458.412,14196.307,704.485,88.972,14357.427,1.011,3945.566,4542.427,138.220,235.360,51.937
3,74724,2949575.433,26877.936,0.051,0,6747.672,9028.310,2236.659,14858.701,8081.497,8819.301,8081.497,8819.301,7456.954,514.224,80.889,14.501,11139498.485,0.265,12696.815,83.779,8001.993,8495.967,12695.085,1367.850,84.725,13224.018,1.042,8802.131,11371.775,138.220,218.537,47.837
4,1,39.473,16.847,1.748,1,3794.780,3801.063,6194.790,6201.073,3797.922,6197.932,3797.922,6197.932,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,3797.922,6197.932,6.283,6.283,0.000,8.885,1.000,3794.780,6194.790,6.283,11.565,0.707
5,2,78.946,28.760,1.199,1,3801.063,3807.346,6201.073,6213.639,3804.204,6207.356,3804.204,6207.356,6.447,1.447,90.000,4.455,78.946,1.000,14.049,63.435,3804.204,6207.356,12.565,6.283,90.000,15.168,1.080,3801.063,6201.073,6.283,11.565,1.207
6,4,157.892,49.097,0.823,1,1765.452,1784.301,15530.955,15543.521,1773.306,15535.667,1773.306,15535.667,10.978,4.672,-18.435,2.350,157.892,1.000,22.653,146.310,1774.877,15537.238,18.848,12.565,0.000,22.707,1.002,1765.452,15530.955,6.283,11.565,1.807
7,1,39.473,16.847,1.748,1,1595.818,1602.101,15631.479,15637.762,1598.960,15634.620,1598.960,15634.620,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,1598.960,15634.620,6.283,6.283,0.000,8.885,1.000,1595.818,15631.479,6.283,11.565,0.707
8,1,39.473,16.847,1.748,1,1589.535,1595.818,15644.045,15650.327,1592.677,15647.186,1592.677,15647.186,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,1592.677,15647.186,6.283,6.283,0.000,8.885,1.000,1589.535,15644.045,6.283,11.565,0.707
