Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,217.572,32.367,446,52,211,207,2.279,9.320,76553,3037629.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,219.260,32.402,437,54,213,214,1.535,5.641,67494,2678167.276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,213.249,24.383,355,50,209,207,1.150,4.939,85567,3395305.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,215.684,26.799,330,99,209,207,1.893,4.111,63261,2510201.500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,214.748,30.094,445,57,211,214,1.896,13.162,56271,2232837.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,232.392,32.925,394,51,226,227,1.792,4.879,71024,2818237.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,216.407,29.132,342,36,210,207,1.453,3.556,61580,2443499.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,217.525,31.123,355,34,211,210,1.533,4.235,78516,3115521.111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,220.241,29.496,350,82,213,207,1.563,3.563,84961,3371259.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,215.057,28.979,344,72,212,207,0.691,4.082,57828,2294619.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,213.027,27.259,431,36,209,207,1.567,6.826,70857,2811611.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,211.257,30.860,408,41,210,210,0.131,5.087,69060,2740306.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,218.058,42.922,342,2,225,245,-0.820,1.280,56513,2242440.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
