Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,76492,3019363.579,27406.805,0.051,1,9543.495,11365.493,1790.583,15279.645,10225.678,8628.359,10225.678,8628.359,7680.187,388.941,-82.565,19.746,8342959.612,0.362,13561.627,95.930,10253.908,8499.171,13561.508,914.540,95.689,13852.293,1.021,9970.722,8896.372,131.938,219.213,52.496
2,76474,3018653.066,25626.670,0.058,1,3455.512,4586.407,2531.948,15254.514,3939.674,8829.492,3939.674,8829.492,7237.410,239.047,85.594,30.276,5558815.240,0.543,12747.171,86.440,3930.017,8898.522,12746.383,548.582,85.802,12882.237,1.011,3731.953,7677.519,138.220,233.396,46.600
3,52617,2076947.307,18252.641,0.078,1,14368.647,15091.163,5597.929,14720.481,14830.539,10267.980,14830.539,10267.980,5189.801,167.875,87.289,30.915,3240412.003,0.641,9143.306,86.139,14800.427,10153.174,9142.110,407.585,87.065,9248.295,1.011,14952.942,11868.113,131.938,225.010,35.048
4,37017,1461169.555,16597.542,0.067,1,6779.086,7445.057,7068.092,15072.314,7068.918,11051.148,7068.918,11051.148,4621.348,320.468,-89.755,14.421,3830177.092,0.381,8004.311,89.730,7108.630,11069.856,8004.211,660.559,90.095,8163.893,1.020,7269.140,14682.784,113.089,174.673,36.095
