Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,18782,741380.625,6949.213,0.193,1,12069.160,12552.932,823.040,4178.028,12269.449,2484.300,12269.449,2484.300,1945.971,142.537,-87.011,13.652,987218.050,0.751,3365.847,95.785,12268.006,2497.316,3364.771,335.961,94.336,3417.905,1.015,12414.712,986.392,131.938,218.429,12.953
2,93414,3687324.548,29723.985,0.052,0,1790.583,3430.381,867.019,15568.652,2468.978,8356.327,2468.978,8356.327,8294.698,352.905,83.863,23.504,8687913.572,0.424,14765.878,84.653,2482.157,8236.595,14765.862,768.955,84.739,14986.958,1.015,2519.382,10146.639,150.786,239.630,49.696
3,1,39.473,16.847,1.748,1,6307.880,6314.163,1765.452,1771.735,6311.021,1768.594,6311.021,1768.594,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,6311.021,1768.594,6.283,6.283,0.000,8.885,1.000,6307.880,1765.452,6.283,11.565,0.707
4,65095,2569490.563,21623.418,0.069,1,6307.880,7250.292,1884.825,12540.367,6779.251,7506.455,6779.251,7506.455,6122.303,154.900,86.222,39.524,3397040.600,0.756,10692.825,85.214,6759.209,7212.242,10691.399,353.839,86.150,10835.318,1.013,6961.286,10196.901,163.351,234.862,33.166
5,40714,1607100.988,13837.048,0.105,1,10850.307,12615.760,3945.566,10410.515,11819.702,7197.549,11819.702,7197.549,3813.267,158.112,-75.705,24.118,2269930.476,0.708,6683.797,104.702,11817.821,7199.493,6682.796,405.364,103.711,6805.563,1.018,12232.512,5679.605,138.220,240.388,24.619
6,46002,1815833.856,13306.708,0.129,1,9876.481,11440.886,10215.750,16454.519,10483.996,13561.372,10483.996,13561.372,3705.726,233.808,-77.792,15.849,2983285.318,0.609,6366.285,102.829,10528.987,13302.592,6363.697,624.430,101.196,6491.426,1.020,10102.660,15191.687,188.482,275.914,17.220
7,1,39.473,16.847,1.748,1,6973.851,6980.134,12540.367,12546.649,6976.993,12543.508,6976.993,12543.508,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,6976.993,12543.508,6.283,6.283,0.000,8.885,1.000,6973.851,12540.367,6.283,11.565,0.707
