Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,215.582,22.024,350,91,212,214,1.413,4.665,18782,741380.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,237.666,49.954,366,0,213,317,0.609,-1.051,93414,3687324.548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,265.000,0.000,265,265,265,265,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,203.346,40.616,395,0,204,205,-1.412,8.015,65095,2569490.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,211.719,30.812,387,4,208,205,1.576,6.701,40714,1607100.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,226.522,36.599,380,12,215,214,1.437,2.134,46002,1815833.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.000,0.000,0,0,0,0,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
