Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,95518,3790161.820,28661.789,0.058,1,4938.583,6015.748,1707.087,15748.031,5504.732,8922.659,5504.732,8922.659,7965.560,294.899,-86.949,27.011,8532248.744,0.444,14043.934,91.182,5453.215,8724.065,14043.850,899.985,90.984,14299.303,1.018,5209.449,11533.858,157.480,263.649,45.400
2,64589,2562896.646,23950.180,0.056,1,642.520,2204.724,2588.976,14242.520,1193.015,8611.623,1193.015,8611.623,6664.633,514.785,-85.014,12.946,8522923.926,0.301,11682.280,94.020,1299.735,8385.938,11682.176,1062.648,93.778,12015.208,1.028,812.598,11874.016,125.984,217.773,47.685
3,61855,2454411.309,22204.377,0.063,1,9429.921,9845.669,3061.417,14311.811,9611.997,8900.935,9611.997,8900.935,6298.649,146.160,89.951,43.094,3592674.065,0.683,11250.410,89.904,9615.414,8686.727,11250.130,365.736,89.500,11254.262,1.000,9549.606,7987.402,125.984,216.802,44.665
4,1,39.680,16.891,1.748,1,9448.819,9455.118,3074.016,3080.315,9451.969,3077.165,9451.969,3077.165,1.449,1.449,0.000,1.000,39.680,1.000,8.908,45.000,9451.969,3077.165,6.299,6.299,90.000,8.908,1.000,9448.819,3074.016,6.299,11.598,0.707
5,1,39.680,16.891,1.748,1,9442.520,9448.819,3092.913,3099.213,9445.669,3096.063,9445.669,3096.063,1.449,1.449,0.000,1.000,39.680,1.000,8.908,45.000,9445.669,3096.063,6.299,6.299,0.000,8.908,1.000,9442.520,3092.913,6.299,11.598,0.707
