Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,273.877,21.432,365,161,274,278,0.112,0.353,41026,1627914.936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,250.546,27.287,353,54,250,252,-0.279,0.582,54211,2151096.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,237.133,25.629,330,53,235,227,-0.384,2.552,53293,2114670.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,267.757,37.653,394,5,273,284,-1.495,4.892,48877,1939443.239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,248.469,39.984,376,21,250,254,-1.161,4.046,26643,1057196.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,274.770,36.276,444,5,279,284,-1.447,7.332,33026,1310474.301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,269.966,31.178,386,18,274,278,-1.610,6.094,40490,1606646.413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,251.234,36.398,370,15,253,248,-1.090,3.499,37480,1487209.374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,224.163,42.680,378,9,222,222,-0.508,3.536,29250,1160642.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,246.730,24.614,338,79,246,248,-0.160,0.816,34217,1357733.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,260.254,40.768,411,10,256,254,0.235,1.846,35282,1399992.560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,279.712,45.703,422,18,277,294,-0.098,1.104,32155,1275912.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,266.854,37.369,411,53,266,265,0.470,2.656,31160,1236431.273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,240.169,35.680,392,49,236,230,0.785,3.001,44080,1749097.898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,262.502,34.619,425,68,260,254,0.617,2.656,42694,1694101.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,251.226,40.561,379,26,254,248,-1.005,2.337,32206,1277936.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,259.117,29.577,357,58,262,278,-0.708,2.470,34803,1380985.802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,255.477,31.330,357,27,257,254,-0.667,1.726,34960,1387215.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,242.386,37.032,355,14,249,254,-1.703,4.508,27819,1103860.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,261.871,37.552,391,56,259,254,0.483,1.277,34199,1357019.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
