Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,41026,1627914.936,14835.580,0.093,1,56686.614,57788.976,1247.244,8308.661,57098.464,4851.278,57098.464,4851.278,3988.151,313.278,84.431,12.730,4212476.905,0.386,7077.627,86.121,57173.338,4797.470,7077.565,792.815,86.362,7302.137,1.032,56938.583,4579.528,132.283,220.665,27.600
2,54211,2151096.782,19950.893,0.068,1,70059.843,72403.150,1259.843,9864.567,71625.618,5399.261,71625.618,5399.261,5063.363,1104.834,-89.530,4.583,12134088.908,0.177,8635.164,85.188,71446.096,5485.080,8634.862,2137.457,85.666,9739.932,1.128,71496.063,7962.205,138.583,218.489,35.141
3,53293,2114670.469,19507.908,0.070,1,60245.669,62544.882,1889.764,10343.307,61391.059,6096.371,61391.059,6096.371,5071.725,780.265,-76.611,6.500,10003824.168,0.211,8468.928,93.454,61454.852,6179.750,8460.559,1735.351,96.001,9267.491,1.094,60541.732,10116.535,132.283,219.320,35.029
4,48877,1939443.239,16861.165,0.086,1,8226.772,10122.835,1990.551,9549.606,8706.576,6064.975,8706.576,6064.975,4463.719,477.126,81.979,9.355,6736447.393,0.288,7703.914,78.396,8808.733,5859.382,7703.376,1203.034,79.073,8098.357,1.051,8781.102,7848.819,144.882,225.708,27.948
5,26643,1057196.354,9982.066,0.133,1,50998.425,51640.945,2349.606,7212.598,51330.935,4836.799,51330.935,4836.799,2759.136,128.678,-84.531,21.442,1227661.975,0.861,4895.927,96.650,51341.671,4783.215,4894.923,277.627,95.489,4977.727,1.017,51206.299,6223.622,125.984,214.048,19.755
6,33026,1310474.301,12078.715,0.113,1,38286.614,39055.118,2355.906,8188.976,38640.379,5332.816,38640.379,5332.816,3270.039,189.881,84.745,17.221,2244900.490,0.584,5845.713,86.231,38631.111,5277.897,5845.684,518.999,86.411,5951.586,1.018,38626.772,5656.693,132.283,216.497,22.496
7,40490,1606646.413,14414.288,0.097,1,47357.480,48510.236,2437.795,9247.244,47902.950,6034.724,47902.950,6034.724,3766.289,366.918,83.508,10.265,3813771.468,0.421,6817.323,87.246,47874.677,5862.753,6816.678,878.539,86.458,7061.507,1.036,47792.126,5807.874,138.583,227.161,25.478
8,37480,1487209.374,13496.396,0.103,1,20359.055,21480.315,2462.992,8850.394,21081.932,5749.136,21081.932,5749.136,3653.867,479.951,-87.423,7.613,4245649.451,0.350,6396.791,93.105,21012.835,5677.629,6396.581,930.410,93.569,6618.042,1.035,21303.937,6324.409,125.984,225.784,26.265
9,29250,1160642.321,11078.561,0.119,1,54204.724,55193.701,2538.583,7861.417,54758.890,5274.281,54758.890,5274.281,3029.020,174.034,-81.796,17.405,1751121.582,0.663,5372.756,97.817,54766.809,5218.481,5372.601,404.731,98.251,5475.365,1.019,54733.858,5851.969,125.984,211.971,21.730
10,34217,1357733.275,13741.656,0.090,1,43527.559,45285.039,2708.661,8371.654,44490.885,5838.373,44490.885,5838.373,3367.927,591.050,73.485,5.698,5022704.445,0.270,5701.487,83.338,44441.170,5476.289,5701.423,1322.312,83.610,6395.050,1.122,45089.764,7672.441,138.583,191.925,23.073
