Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,80516,3178202.660,28875.128,0.048,1,33907.995,36565.598,464.923,13545.606,34947.963,7297.127,34947.963,7297.127,7566.739,1248.565,-86.625,6.060,19827767.313,0.160,13101.675,86.756,35010.792,7063.259,13101.633,2416.987,86.901,14116.169,1.077,34140.457,7985.374,131.938,220.331,53.496
2,80546,3179386.848,28588.837,0.049,0,30421.070,31181.282,483.772,14751.894,30902.772,7896.577,30902.772,7896.577,8165.248,190.357,88.799,42.894,6875908.590,0.462,14275.695,88.134,30853.522,7615.277,14275.016,548.472,88.693,14388.841,1.008,31043.062,12439.843,131.938,218.257,54.529
3,91032,3593300.022,30649.645,0.048,1,41378.184,44469.296,923.564,15229.383,42282.854,8321.682,42282.854,8321.682,8294.366,1169.460,83.321,7.092,20616199.674,0.174,14441.203,82.148,42478.994,8204.026,14440.802,2160.749,82.575,15130.205,1.048,41830.542,4234.573,131.938,238.127,57.338
4,91643,3617417.984,30832.468,0.048,1,13476.496,15807.396,1124.612,15323.624,14652.623,8357.515,14652.623,8357.515,8464.597,1208.303,-83.900,7.005,21188201.944,0.171,14202.083,88.809,14651.302,8222.187,14199.542,2323.467,89.892,15204.342,1.071,13683.827,14858.701,169.634,237.721,44.815
5,106365,4198538.501,32486.163,0.050,1,38054.610,41265.094,1187.440,16247.188,39143.878,9224.746,39143.878,9224.746,8901.169,676.609,82.407,13.156,20739592.062,0.202,15233.443,81.031,39245.711,8837.482,15233.434,1738.239,81.093,16006.020,1.051,40467.185,15556.086,157.069,254.113,50.952
6,1,39.473,16.847,1.748,1,38921.629,38927.912,1269.115,1275.398,38924.770,1272.257,38924.770,1272.257,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,38924.770,1272.257,6.283,6.283,90.000,8.885,1.000,38921.629,1269.115,6.283,11.565,0.707
7,87091,3437737.194,29709.455,0.049,1,23660.832,25564.505,1463.880,15763.417,24241.401,9104.401,24241.401,9104.401,8298.283,693.550,89.140,11.965,14643352.841,0.235,14338.903,85.753,24240.523,8663.360,14338.893,1634.902,85.819,14745.701,1.028,24169.735,8783.283,131.938,230.653,55.881
8,73380,2896523.812,26368.139,0.052,1,1526.708,3197.919,2374.879,15204.252,2714.181,9011.278,2714.181,9011.278,7405.178,562.069,-86.350,13.175,11510425.635,0.252,12864.867,94.257,2521.210,8819.656,12864.614,1136.871,93.898,13201.401,1.026,2739.278,11572.823,131.938,220.554,50.029
9,64196,2534004.397,24196.042,0.054,1,26343.566,28762.424,2689.016,13872.309,27856.750,8349.554,27856.750,8349.554,6430.590,722.363,-80.057,8.902,11427927.205,0.222,11266.852,96.982,27736.877,8356.191,11266.612,1540.450,96.608,11781.500,1.046,28039.908,8802.131,125.655,211.688,46.880
10,78504,3098783.120,27110.327,0.053,0,5535.102,6804.217,2940.326,16046.141,5857.820,9742.762,5857.820,9742.762,7501.430,492.670,88.982,15.226,11478176.249,0.270,13115.209,87.831,6050.633,9507.457,13114.922,1112.878,88.210,13406.218,1.022,5717.301,12056.595,138.220,223.394,48.496
11,80073,3160716.151,26908.928,0.055,1,16423.105,18464.999,3292.160,15895.355,17475.481,9916.890,17475.481,9916.890,7306.886,786.378,-82.114,9.292,13810592.377,0.229,12607.760,91.542,17413.162,9568.672,12607.142,1741.544,92.109,13231.559,1.049,16888.029,11271.251,138.220,233.889,47.864
12,69841,2756829.102,24628.737,0.057,1,9141.400,10379.101,3618.863,15863.941,9623.970,9831.864,9623.970,9831.864,6974.740,242.580,-85.027,28.752,5769363.864,0.478,12277.993,94.196,9655.478,9731.664,12277.971,605.667,94.090,12429.880,1.012,9461.820,10064.964,131.938,223.543,47.105
13,44760,1766808.474,18123.480,0.068,1,20243.017,21474.435,3838.760,12565.498,20666.177,8321.020,20666.177,8321.020,5085.099,313.468,84.641,16.222,5094771.442,0.347,8760.335,84.980,20758.703,8229.107,8760.142,728.417,85.361,9010.808,1.029,21216.843,12402.146,125.655,194.331,35.855
14,58436,2306640.303,20051.093,0.072,1,44783.434,47221.140,5214.682,14531.998,46038.340,9942.313,46038.340,9942.313,5415.317,159.343,76.060,33.985,3310200.148,0.697,9557.649,77.124,46020.478,9869.687,9556.794,382.541,76.357,9767.250,1.022,46065.114,9851.350,138.220,236.227,35.332
