Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,56115,2215023.626,19360.482,0.074,0,6031.439,8431.449,1482.729,9424.123,7788.348,5296.934,7788.348,5296.934,4850.776,1058.474,85.475,4.583,12124111.322,0.183,7997.860,83.188,7506.575,5349.605,7997.849,2048.843,83.282,9162.850,1.146,7671.236,8575.952,150.786,222.073,30.384
2,40926,1615469.249,14342.304,0.099,1,1501.577,3486.926,2117.286,8198.987,2875.524,5062.634,2875.524,5062.634,3620.471,859.160,85.860,4.214,6697333.042,0.241,6164.219,80.614,2760.176,5049.401,6163.936,1609.639,81.163,6885.982,1.117,2676.451,7614.692,144.503,227.708,23.826
3,48285,1905950.562,16803.454,0.085,1,9983.288,12364.450,2293.203,9047.158,10818.227,5589.804,10818.227,5589.804,4135.448,952.775,79.993,4.340,9313362.193,0.205,6791.166,83.999,11052.022,5761.420,6791.137,1922.579,83.833,7805.776,1.149,10536.170,3116.243,157.069,225.869,24.848
4,54499,2151235.367,17778.076,0.086,1,26927.861,29629.443,3128.809,10140.357,28752.974,6248.585,28752.974,6248.585,4253.630,1180.110,85.323,3.604,10491984.494,0.205,7101.877,79.654,28643.014,6461.093,7101.816,2214.824,79.417,8398.868,1.183,29466.092,5717.301,157.069,242.702,26.736
5,58907,2325232.055,19281.778,0.079,1,15292.211,17221.015,4027.242,12389.581,16258.290,8051.793,16258.290,8051.793,4941.495,828.745,-79.763,5.963,9389505.480,0.248,8366.701,91.850,16296.791,8235.036,8366.659,1722.967,92.033,9171.646,1.096,16297.450,8400.035,157.069,236.266,29.196
6,43980,1736019.586,14504.705,0.104,1,18691.178,21977.055,4781.172,9995.853,19553.252,6984.983,19553.252,6984.983,3574.666,874.790,-64.547,4.086,7438832.085,0.233,5952.519,121.711,19692.495,7083.424,5952.510,1766.806,121.813,6948.809,1.167,18841.964,8858.676,150.786,242.254,23.042
7,35912,1417551.964,14108.092,0.089,0,31551.965,33750.927,4850.282,10611.563,33209.361,7464.712,33209.361,7464.712,3474.646,604.353,76.937,5.749,6063792.470,0.234,5977.176,73.889,33024.957,7563.276,5977.176,1353.952,73.870,6652.264,1.113,33600.141,9436.689,138.220,199.498,24.064
8,45134,1781571.351,16313.686,0.084,1,23340.412,26940.427,5114.158,9342.448,25614.800,7821.579,25614.800,7821.579,2910.749,1758.613,-58.680,1.655,10035045.824,0.178,4228.668,90.766,25511.593,7522.848,4118.740,3048.084,120.220,7544.414,1.784,24056.645,8846.110,157.069,220.211,24.016
9,34619,1366513.462,10242.098,0.164,1,45663.018,48358.318,6025.156,9882.764,47365.528,7891.212,47365.528,7891.212,2599.241,461.936,53.602,5.627,3256516.959,0.420,4591.881,57.006,47220.756,7800.675,4591.875,984.726,57.099,4722.203,1.028,48163.553,8927.786,163.351,268.737,14.454
10,30524,1204871.802,10958.168,0.126,0,43055.678,44858.827,6056.570,10718.370,43647.923,8480.326,43647.923,8480.326,2775.069,536.595,72.240,5.172,3593418.441,0.335,4855.309,73.769,43735.283,8488.753,4854.330,1058.603,74.920,5125.556,1.056,44393.903,10077.529,138.220,216.753,18.541
11,35307,1393670.840,14112.077,0.088,1,36056.696,39543.621,6552.907,10592.715,38605.250,8044.107,38605.250,8044.107,2835.025,1387.319,61.716,2.044,8089030.235,0.172,4452.417,53.955,38333.900,8090.444,4452.303,2468.054,53.545,6701.269,1.505,38594.926,6810.500,138.220,196.387,24.241
12,3,118.419,40.673,0.900,1,7740.347,7746.629,8362.339,8381.187,7743.488,8371.763,7743.488,8371.763,10.361,1.447,90.000,7.160,118.419,1.000,19.868,71.565,7743.488,8371.763,18.848,6.283,90.000,21.451,1.080,7740.347,8362.339,6.283,11.565,1.707
13,1,39.473,16.847,1.748,1,16046.141,16052.423,9109.986,9116.269,16049.282,9113.127,16049.282,9113.127,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,16049.282,9113.127,6.283,6.283,0.000,8.885,1.000,16046.141,9109.986,6.283,11.565,0.707
14,26,1026.296,175.451,0.419,1,15989.596,16046.141,9116.269,9185.379,16016.902,9151.549,16016.902,9151.549,45.731,7.121,-47.156,6.422,1026.296,1.000,89.295,129.289,16017.868,9150.824,88.851,17.770,135.000,89.304,1.000,16039.858,9116.269,6.283,14.079,7.107
15,3,118.419,40.673,0.900,1,18804.267,18823.115,10322.556,10328.839,18813.691,10325.698,18813.691,10325.698,10.361,1.447,0.000,7.160,118.419,1.000,19.868,18.435,18813.691,10325.698,18.848,6.283,0.000,21.451,1.080,18804.267,10322.556,6.283,11.565,1.707
