Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,270.522,36.635,416,88,267,256,0.401,2.074,47329,1868214.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,252.845,31.047,392,18,250,248,-0.124,3.281,47995,1894503.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,249.101,29.638,399,29,248,248,0.382,3.819,37485,1479642.887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,261.398,20.658,389,179,259,254,0.643,1.450,32568,1285554.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,254.700,34.515,448,96,254,248,0.379,3.314,42430,1674836.540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,279.821,26.579,380,44,281,294,-0.261,0.992,36500,1440762.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,247.554,34.431,380,1,249,252,-1.375,5.457,37327,1473406.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,257.342,30.213,373,68,258,254,-0.839,3.384,41774,1648942.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,258.160,31.760,374,4,258,248,-1.138,5.206,38266,1510471.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,262.930,27.022,410,83,263,254,-0.586,3.510,47638,1880411.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,272.013,38.283,426,4,277,284,-1.575,6.249,37984,1499339.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,270.898,41.345,462,70,270,262,0.150,2.539,38952,1537549.680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,249.836,43.723,396,13,254,260,-1.150,3.722,33472,1321238.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,263.593,43.354,446,20,266,271,-0.610,4.496,39471,1558036.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,255.176,31.864,341,60,257,248,-0.838,2.232,43877,1731953.874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,260.117,28.355,375,36,260,258,-0.881,5.069,53312,2104380.996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,260.257,47.858,404,46,261,284,-0.440,1.688,27294,1077374.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,239.759,41.065,404,5,241,237,-0.831,4.296,28083,1108518.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,259.814,41.080,386,9,262,254,-0.975,3.651,28543,1126675.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,263.090,40.013,426,38,262,254,-0.274,5.288,43787,1728401.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,266.781,26.458,378,99,267,281,-0.107,2.380,19166,756538.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
