Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,224.834,31.917,382,65,215,214,1.644,2.769,78421,3111751.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,232.937,26.133,372,25,233,229,-0.492,5.577,67159,2664874.450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,214.440,27.720,376,5,215,214,-0.337,7.881,76937,3052866.266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,218.321,23.588,337,73,214,214,1.569,4.508,66676,2645708.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,221.229,30.378,379,95,214,214,1.726,4.337,76952,3053461.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,221.556,31.186,410,0,216,214,1.347,5.216,64918,2575951.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,217.984,29.469,387,38,214,214,1.033,4.915,71163,2823753.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,233.603,36.171,397,35,230,229,1.021,3.165,71874,2851966.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,224.547,34.573,356,22,225,229,-0.154,1.687,56790,2253431.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,228.373,33.785,369,27,224,217,0.769,1.412,75066,2978624.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,224.127,36.893,391,75,217,214,1.442,3.522,47173,1871828.384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,225.359,35.675,393,46,215,214,1.662,3.610,74878,2971164.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,224.759,30.751,372,114,216,214,1.700,3.068,49419,1960949.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,215.908,23.840,331,97,213,214,1.014,3.805,57658,2287874.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,227.061,25.372,438,77,225,227,1.751,11.079,67488,2677929.196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,219.765,29.603,399,89,212,210,2.092,6.152,69161,2744313.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,214.470,26.051,332,46,212,214,0.429,3.909,48448,1922420.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,277.333,19.267,307,256,278,256,0.410,-1.435,6,238.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,329.522,27.869,355,260,342,350,-1.255,0.450,23,912.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
