Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,78421,3111751.504,25259.036,0.061,1,71735.433,72850.394,226.772,12598.425,72069.486,6633.736,72069.486,6633.736,7117.789,408.245,88.950,17.435,8599109.678,0.362,12387.680,87.085,72124.456,6428.143,12386.622,992.024,87.834,12595.995,1.017,72680.315,12365.354,151.181,246.440,41.659
2,67159,2664874.450,25041.128,0.053,1,75722.835,76988.976,327.559,12340.157,76655.785,6597.739,76655.785,6597.739,7047.741,523.028,-89.896,13.475,11342669.725,0.235,12017.963,91.712,76455.291,6346.250,12017.799,1184.185,91.412,12410.799,1.033,76774.803,10645.669,132.283,209.383,46.910
3,76937,3052866.266,25761.330,0.058,1,9436.220,11262.992,1190.551,13788.976,10800.017,7599.053,10800.017,7599.053,7172.443,494.237,-84.732,14.512,9897164.114,0.308,12691.836,96.956,10683.162,7536.310,12691.579,1066.643,96.591,12907.176,1.017,11048.819,6645.669,144.882,235.283,44.544
4,66676,2645708.971,23680.979,0.059,0,16982.677,19741.732,1190.551,11968.504,18006.938,6756.339,18006.938,6756.339,6292.604,679.880,-77.792,9.255,11376199.392,0.233,10909.905,99.337,18189.277,6486.914,10908.069,1565.883,98.286,11520.090,1.056,17555.906,7401.575,144.882,227.409,39.757
5,76952,3053461.467,25095.361,0.061,1,24541.732,26236.220,1234.646,13467.717,25551.593,7622.178,25551.593,7622.178,7023.202,444.106,-82.509,15.814,8328055.056,0.367,12277.681,94.886,25558.002,7382.241,12276.740,955.372,95.595,12544.342,1.022,24699.213,12856.693,157.480,243.831,39.828
6,64918,2575951.392,23375.580,0.059,1,28711.811,29801.575,1448.819,12957.480,28967.732,7292.570,28967.732,7292.570,6518.910,264.971,-87.913,24.602,7261216.442,0.355,11518.098,92.319,29099.685,7191.217,11517.159,765.244,93.190,11721.664,1.018,28869.291,8995.276,132.283,216.815,44.305
7,71163,2823753.488,23743.050,0.063,1,50223.622,51458.268,1562.205,13354.331,50918.307,7635.004,50918.307,7635.004,6704.710,189.355,84.651,35.408,4730778.102,0.597,11826.962,85.601,50915.312,7447.281,11826.961,546.858,85.627,11981.192,1.013,51237.795,13096.063,144.882,236.713,41.348
8,71874,2851966.024,23232.294,0.066,0,69096.063,70462.992,1568.504,12453.543,69462.807,7371.576,69462.807,7371.576,6354.847,532.304,-89.140,11.938,9765584.971,0.292,10889.415,88.376,69573.510,7027.876,10886.489,1205.777,86.870,11378.987,1.045,69240.945,6406.299,138.583,241.613,41.055
9,56790,2253431.707,19487.014,0.075,-5,31703.937,33070.866,1725.984,10910.236,32082.072,6539.459,32082.072,6539.459,5129.882,299.599,86.331,17.123,5424068.448,0.415,9259.485,82.691,32091.014,6355.713,9259.476,811.903,82.769,9485.444,1.024,32107.087,8440.945,144.882,213.144,32.735
10,75066,2978624.837,24011.101,0.065,0,4875.591,5839.370,2355.906,13933.858,5394.512,8439.893,5394.512,8439.893,6512.608,406.441,-88.244,16.024,6887588.815,0.432,11580.559,91.216,5350.077,8143.554,11579.014,926.381,90.280,11806.074,1.019,5165.354,9392.126,144.882,238.949,40.744
11,47173,1871828.384,18507.207,0.069,1,35174.803,36258.268,2368.504,11464.567,35621.909,6883.284,35621.909,6883.284,5062.523,221.067,84.947,22.900,4075382.231,0.459,9119.174,85.920,35661.730,6932.048,9119.055,600.022,86.213,9321.664,1.022,35540.157,6538.583,125.984,202.385,36.995
12,74878,2971164.982,23939.042,0.065,1,21203.150,22891.339,2469.291,14135.433,21987.007,8670.364,21987.007,8670.364,6719.442,175.990,-82.173,38.181,4612571.145,0.644,11753.436,97.235,22006.254,8300.041,11753.266,453.339,97.544,11963.554,1.018,21423.622,12686.614,176.378,247.126,33.915
13,49419,1960949.842,17658.330,0.079,1,37669.291,38859.843,2525.984,11130.709,38171.048,6864.980,38171.048,6864.980,4812.466,169.341,84.115,28.419,2969022.258,0.660,8670.328,82.947,38162.061,6833.706,8670.137,428.447,83.327,8818.987,1.017,38103.937,6507.087,138.583,218.445,31.819
14,57658,2287874.016,19960.841,0.072,1,47823.622,48409.449,2683.465,12598.425,48065.211,7786.585,48065.211,7786.585,5605.014,185.496,-89.145,30.216,4633879.348,0.494,9916.529,88.981,48105.315,7641.507,9915.386,582.679,89.851,10029.696,1.011,48037.795,8925.984,138.583,226.191,36.187
15,67488,2677929.196,23576.313,0.061,1,44409.449,46286.614,3237.795,14563.780,45160.211,9147.937,45160.211,9147.937,6656.630,371.177,85.525,17.934,7891693.223,0.339,11441.514,81.004,45035.956,8929.257,11438.356,1005.850,82.351,11677.570,1.021,45316.535,12938.583,144.882,226.749,40.300
16,69161,2744313.969,23459.334,0.063,1,2116.535,3716.535,3281.890,14576.378,3319.811,9261.167,3319.811,9261.167,6627.555,345.683,-85.570,19.172,7867488.375,0.349,11369.896,96.873,3256.728,8963.441,11369.842,930.499,97.048,11599.460,1.020,2525.984,14311.811,151.181,230.906,38.363
17,48448,1922420.485,17673.385,0.077,1,62985.827,64988.976,3659.843,11376.378,63574.433,7554.083,63574.433,7554.083,4582.869,869.732,-84.651,5.269,9821018.042,0.196,7748.720,95.224,63863.786,7462.136,7748.310,1664.252,94.634,8463.711,1.092,63269.291,6645.669,132.283,217.730,31.991
18,6,238.080,76.612,0.510,1,75748.031,75785.827,12592.126,12598.425,75766.929,12595.276,75766.929,12595.276,21.565,1.449,0.000,14.882,238.080,1.000,38.317,9.462,75766.929,12595.276,37.795,6.299,0.000,40.404,1.054,75748.031,12592.126,6.299,11.598,3.207
