Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,223.133,30.006,349,0,220,221,-0.600,9.886,88569,3496078.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,216.387,34.121,366,0,209,207,0.718,5.086,85913,3391238.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,206.989,28.706,353,0,206,201,-0.572,8.373,74724,2949575.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,276.000,0.000,276,276,276,276,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,278.500,5.500,284,273,284,273,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,307.750,3.112,311,303,310,303,-0.513,-1.278,4,157.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,297.000,0.000,297,297,297,297,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,303.000,0.000,303,303,303,303,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
