Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,76553,3037629.115,26288.299,0.055,1,32226.772,34129.134,296.063,12755.906,33423.480,6806.622,33423.480,6806.622,7133.603,911.334,-86.142,7.828,13200491.041,0.230,12480.883,93.327,33338.369,6564.468,12480.842,1586.705,93.180,12963.870,1.039,32365.354,12396.850,144.882,233.542,44.739
2,67494,2678167.276,22712.509,0.065,1,1870.866,2784.252,963.780,12069.291,2172.651,6745.719,2172.651,6745.719,6309.042,317.651,89.273,19.862,6144380.929,0.436,11129.940,86.203,2118.896,6526.938,11128.704,773.480,87.057,11254.262,1.011,2185.827,5751.181,138.583,234.543,40.605
3,85567,3395305.351,27992.432,0.054,1,27351.181,30406.299,1058.268,14148.031,29457.249,7699.715,29457.249,7699.715,7716.285,946.504,81.031,8.152,15856239.072,0.214,13274.137,80.439,29228.534,7486.381,13273.804,1683.551,80.846,13763.870,1.037,29631.496,13688.189,170.079,247.323,40.463
4,63261,2510201.500,22732.281,0.061,1,4642.520,6494.488,1499.213,12270.866,5909.338,7184.767,5909.338,7184.767,6265.803,705.912,-83.668,8.876,9788004.216,0.256,10833.833,96.142,5815.902,6945.666,10833.672,1286.225,95.829,11201.350,1.034,5952.756,9184.252,132.283,222.211,42.338
5,56271,2232837.746,21156.447,0.063,1,8403.150,8951.181,1738.583,12377.953,8707.654,7068.698,8707.654,7068.698,5922.364,191.253,88.380,30.966,3696080.352,0.604,10644.806,88.169,8734.084,7057.876,10644.514,447.496,88.594,10708.751,1.006,8730.709,9159.055,125.984,208.165,42.500
6,71024,2818237.956,25639.676,0.054,1,16875.591,18513.386,1788.976,14116.535,17827.094,8219.576,17827.094,8219.576,6954.440,830.790,-89.612,8.371,10904403.249,0.258,12340.588,92.633,17853.768,7980.084,12340.373,1476.116,92.294,12787.491,1.036,18349.606,9014.173,132.283,219.145,48.334
7,61580,2443499.287,21931.677,0.064,1,47061.417,49366.929,1965.354,12296.063,48402.733,7214.333,48402.733,7214.333,6017.557,358.033,77.427,16.807,6331155.062,0.386,10499.871,79.701,48406.677,7071.084,10499.749,898.700,79.978,10761.664,1.025,48125.984,6072.441,138.583,228.469,38.828
8,78516,3115521.111,25450.955,0.060,1,11703.937,13858.268,2198.425,14110.236,13112.342,8262.661,13112.342,8262.661,6853.240,930.957,-81.935,7.362,14037066.154,0.222,11945.822,94.325,12990.109,8215.988,11944.593,1672.919,95.146,12438.514,1.041,13656.693,4730.709,138.583,247.751,44.878
9,84961,3371259.223,26098.686,0.062,1,24251.969,26916.535,2198.425,14525.984,25089.708,8627.826,25089.708,8627.826,7175.130,923.965,77.409,7.766,12928166.656,0.261,12526.500,79.775,25020.079,8469.684,12519.765,1619.691,77.896,12855.523,1.026,26689.764,14255.118,157.480,256.322,40.816
10,57828,2294619.629,21430.585,0.063,1,35798.425,37285.039,2211.024,12422.047,36333.299,7482.857,36333.299,7482.857,5780.336,499.903,-85.173,11.563,7772097.464,0.295,10239.902,94.304,36445.885,7291.953,10238.550,1100.524,93.373,10548.751,1.030,36472.441,5474.016,125.984,215.699,41.865
11,70857,2811611.383,24311.880,0.060,1,42418.898,45518.110,2456.693,12988.976,43360.349,8245.837,43360.349,8245.837,6198.694,1437.258,78.493,4.313,16022260.525,0.175,10737.909,78.769,43359.594,7935.155,10737.132,2369.290,78.080,11855.207,1.104,43955.906,11143.307,144.882,230.217,40.913
12,69060,2740306.281,24508.060,0.057,1,20812.598,23823.622,2595.276,13555.906,22256.073,8288.966,22256.073,8288.966,6525.920,801.793,-72.093,8.139,13954134.788,0.196,11087.017,98.660,22369.367,8066.839,11029.011,1493.803,104.523,11830.011,1.067,21234.646,13222.047,138.583,224.498,42.682
13,56513,2242440.325,18798.708,0.080,1,39351.181,40220.472,3149.606,12170.079,39734.577,7711.924,39734.577,7711.924,5277.063,389.470,-87.688,13.549,5877016.554,0.382,9022.076,88.920,39777.431,7658.303,9020.882,838.862,90.352,9247.333,1.025,39527.559,9889.764,138.583,240.161,33.364
