Condition,Staining,Replicate,Label,Sample,Condition_staining,Sample_replicate,Condition_replicate,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,RRmean_absolute,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity,RRmean_NS_Condition,RRmean_NS_rep,RRmean_relative_NS_Condition,RRmean_relative_NS_rep
arp-2,Stained,rep_1,2,arp-2-Stained-rep_1-2,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,91364,3606405.036,30665.252,15.03345,233.89,157.069,0.048,226.292,14416.915,94.374,1.043,214.622545454545,218.967,1.05437198837028,1.03345252937657
arp-2,Stained,rep_1,21,arp-2-Stained-rep_1-21,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,80836,3190833.999,27631.361,13.528104,231.177,138.22,0.053,219.292,13068.435,78.323,1.035,214.622545454545,218.967,1.02175658915779,1.00148424191773
arp-2,Stained,rep_1,22,arp-2-Stained-rep_1-22,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,50324,1986435.872,18670.136,9.0573,217.044,131.938,0.072,212.538,8377.791,88.496,1.081,214.622545454545,218.967,0.99028738826049,0.970639411418159
arp-2,Stained,rep_1,23,arp-2-Stained-rep_1-23,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,54537,2152735.338,19291.537,9.561177,219.997,163.351,0.073,225.951,9399.064,92.107,1.017,214.622545454545,218.967,1.05278315249436,1.03189521708751
arp-2,Stained,rep_1,24,arp-2-Stained-rep_1-24,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,44260,1747072.007,14529.25,7.162423,243.208,138.22,0.104,238.44,7082.542,91.322,1.011,214.622545454545,218.967,1.11097368403218,1.08893120881229
arp-2,Stained,rep_1,25,arp-2-Stained-rep_1-25,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,52406,2068618.518,19069.058,9.279709,220.604,138.22,0.071,222.973,9071.08,78.737,1.023,214.622545454545,218.967,1.03890762980082,1.01829499422287
arp-2,Stained,rep_1,29,arp-2-Stained-rep_1-29,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,45428,1793176.393,16103.292,7.842217,217.147,157.069,0.087,221.375,7721.866,87.622,1.016,214.622545454545,218.967,1.03146200009488,1.01099709088584
arp-2,Stained,rep_1,3,arp-2-Stained-rep_1-3,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,92044,3633246.63,30039.139,14.628842,241.004,163.351,0.051,220.717,13817.892,95.558,1.059,214.622545454545,218.967,1.02839615256891,1.00799207186471
arp-2,Stained,rep_1,7,arp-2-Stained-rep_1-7,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,76638,3025126.627,25878.267,12.625901,230.408,175.917,0.057,234.435,12374.218,83.03,1.02,214.622545454545,218.967,1.09231301633989,1.07064078148762
arp-2,Stained,rep_1,9,arp-2-Stained-rep_1-9,arp-2-Stained,arp-2-Stained-rep_1,arp-2-rep_1,91887,3627049.38,29865.363,14.54591,241.939,144.503,0.051,221.292,12723.51,82.538,1.143,214.622545454545,218.967,1.03107527464708,1.01061803833454
arp-2,Stained,rep_2,1,arp-2-Stained-rep_2-1,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,80516,3178202.66,28875.128,14.116169,220.331,131.938,0.048,229.946,13101.675,86.756,1.077,214.622545454545,215.503,1.0713972267592,1.06701994867821
arp-2,Stained,rep_2,10,arp-2-Stained-rep_2-10,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,78504,3098783.12,27110.327,13.406218,223.394,138.22,0.053,224.799,13115.209,87.831,1.022,214.622545454545,215.503,1.04741558965253,1.04313629044607
arp-2,Stained,rep_2,11,arp-2-Stained-rep_2-11,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,80073,3160716.151,26908.928,13.231559,233.889,138.22,0.055,222.386,12607.76,91.542,1.049,214.622545454545,215.503,1.03617259560971,1.03193923054435
arp-2,Stained,rep_2,12,arp-2-Stained-rep_2-12,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,69841,2756829.102,24628.737,12.42988,223.543,131.938,0.057,218.865,12277.993,94.196,1.012,214.622545454545,215.503,1.01976704980583,1.01560071089498
arp-2,Stained,rep_2,13,arp-2-Stained-rep_2-13,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,44760,1766808.474,18123.48,9.010808,194.331,125.655,0.068,219.108,8760.335,84.98,1.029,214.622545454545,215.503,1.02089927009278,1.01672830540642
arp-2,Stained,rep_2,14,arp-2-Stained-rep_2-14,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,58436,2306640.303,20051.093,9.76725,236.227,138.22,0.072,230.576,9557.649,77.124,1.022,214.622545454545,215.503,1.07433261268832,1.06994334185603
arp-2,Stained,rep_2,2,arp-2-Stained-rep_2-2,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,80546,3179386.848,28588.837,14.388841,218.257,131.938,0.049,216.683,14275.695,88.134,1.008,214.622545454545,215.503,1.00960036393703,1.00547556182513
arp-2,Stained,rep_2,3,arp-2-Stained-rep_2-3,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,91032,3593300.022,30649.645,15.130205,238.127,131.938,0.048,217.232,14441.203,82.148,1.048,214.622545454545,215.503,1.01215834310383,1.0080230901658
arp-2,Stained,rep_2,4,arp-2-Stained-rep_2-4,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,91643,3617417.984,30832.468,15.204342,237.721,169.634,0.048,230.822,14202.083,88.809,1.071,214.622545454545,215.503,1.0754788110035,1.07108485728737
arp-2,Stained,rep_2,5,arp-2-Stained-rep_2-5,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,106365,4198538.501,32486.163,16.00602,254.113,157.069,0.05,225.918,15233.443,81.031,1.051,214.622545454545,215.503,1.05262939418378,1.04832879356668
arp-2,Stained,rep_2,7,arp-2-Stained-rep_2-7,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,87091,3437737.194,29709.455,14.745701,230.653,131.938,0.049,224.898,14338.903,85.753,1.028,214.622545454545,215.503,1.04787686458425,1.04359568080259
arp-2,Stained,rep_2,8,arp-2-Stained-rep_2-8,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,73380,2896523.812,26368.139,13.201401,220.554,131.938,0.052,223.946,12864.867,94.257,1.026,214.622545454545,215.503,1.04344117029135,1.03917810888944
arp-2,Stained,rep_2,9,arp-2-Stained-rep_2-9,arp-2-Stained,arp-2-Stained-rep_2,arp-2-rep_2,64196,2534004.397,24196.042,11.7815,211.688,125.655,0.054,224.632,11266.852,96.982,1.046,214.622545454545,215.503,1.04663747941418,1.04236135923862
arp-2,Stained,rep_3,1,arp-2-Stained-rep_3-1,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,76553,3037629.115,26288.299,12.96387,233.542,144.882,0.055,217.572,12480.883,93.327,1.039,214.622545454545,206.501333333333,1.01374251963701,1.05361063043984
arp-2,Stained,rep_3,10,arp-2-Stained-rep_3-10,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,57828,2294619.629,21430.585,10.548751,215.699,125.984,0.063,215.057,10239.902,94.304,1.03,214.622545454545,206.501333333333,1.00202427263424,1.04143153232263
arp-2,Stained,rep_3,11,arp-2-Stained-rep_3-11,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,70857,2811611.383,24311.88,11.855207,230.217,144.882,0.06,213.027,10737.909,78.769,1.104,214.622545454545,206.501333333333,0.992565806862619,1.03160108732147
arp-2,Stained,rep_3,12,arp-2-Stained-rep_3-12,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,69060,2740306.281,24508.06,11.830011,224.498,138.583,0.057,211.257,11087.017,98.66,1.067,214.622545454545,206.501333333333,0.984318770204605,1.02302971409386
arp-2,Stained,rep_3,13,arp-2-Stained-rep_3-13,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,56513,2242440.325,18798.708,9.247333,240.161,138.583,0.08,218.058,9022.076,88.92,1.025,214.622545454545,206.501333333333,1.01600696021091,1.05596412613962
