Condition,Replicate,Condition_replicate,Sample,RRmean_absolute,RRmean_relative_NS_Condition,RRmean_relative_NS_rep,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-5,225.918,1.05262939418378,1.04832879356668,106365,4198538.501,32486.163,16.00602,254.113,157.069,0.05,15233.443,81.031,1.051
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-7,224.898,1.04787686458425,1.04359568080259,87091,3437737.194,29709.455,14.745701,230.653,131.938,0.049,14338.903,85.753,1.028
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-8,223.946,1.04344117029135,1.03917810888944,73380,2896523.812,26368.139,13.201401,220.554,131.938,0.052,12864.867,94.257,1.026
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-9,224.632,1.04663747941418,1.04236135923862,64196,2534004.397,24196.042,11.7815,211.688,125.655,0.054,11266.852,96.982,1.046
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-1,217.572,1.01374251963701,1.05361063043984,76553,3037629.115,26288.299,12.96387,233.542,144.882,0.055,12480.883,93.327,1.039
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-10,215.057,1.00202427263424,1.04143153232263,57828,2294619.629,21430.585,10.548751,215.699,125.984,0.063,10239.902,94.304,1.03
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-11,213.027,0.992565806862619,1.03160108732147,70857,2811611.383,24311.88,11.855207,230.217,144.882,0.06,10737.909,78.769,1.104
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-12,211.257,0.984318770204605,1.02302971409386,69060,2740306.281,24508.06,11.830011,224.498,138.583,0.057,11087.017,98.66,1.067
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-13,218.058,1.01600696021091,1.05596412613962,56513,2242440.325,18798.708,9.247333,240.161,138.583,0.08,9022.076,88.92,1.025
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-2,219.26,1.02160749018997,1.06178491180041,67494,2678167.276,22712.509,11.254262,234.543,138.583,0.065,11129.94,86.203,1.011
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-3,213.249,0.993600180951929,1.03267614091273,85567,3395305.351,27992.432,13.76387,247.323,170.079,0.054,13274.137,80.439,1.037
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-4,215.684,1.00494568053513,1.04446783233038,63261,2510201.5,22732.281,11.20135,222.211,132.283,0.061,10833.833,96.142,1.034
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-5,214.748,1.00058453572615,1.03993517394561,56271,2232837.746,21156.447,10.708751,208.165,125.984,0.063,10644.806,88.169,1.006
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-6,232.392,1.08279397911259,1.12537772153206,71024,2818237.956,25639.676,12.787491,219.145,132.283,0.054,12340.588,92.633,1.036
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-7,216.407,1.00831438533951,1.04796902037759,61580,2443499.287,21931.677,10.761664,228.469,138.583,0.064,10499.871,79.701,1.025
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-8,217.525,1.01352353052801,1.05338302900385,78516,3115521.111,25450.955,12.438514,247.751,138.583,0.06,11945.822,94.325,1.041
arp-2,rep_3,arp-2-rep_3,arp-2-Stained-rep_3-9,220.241,1.02617830542246,1.06653548645368,84961,3371259.223,26098.686,12.855523,256.322,157.48,0.062,12526.5,79.775,1.026
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-1,222.257,1.02204683855826,0.984014238425745,106036,4185551.907,33097.054,16.492306,248.513,175.917,0.048,16344.279,87.047,1.009
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-10,214.299,0.985452046307642,0.948781218501099,72036,2843472.19,26147.311,12.800562,216.918,131.938,0.052,12544.283,103.556,1.02
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-11,232.107,1.06734197598835,1.02762384464059,66702,2632923.566,21780.97,10.643066,235.869,144.503,0.07,10424.716,85.021,1.021
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-12,216.09,0.993687943885031,0.956710640301179,63691,2514070.565,21939.925,10.895633,224.766,138.22,0.066,10689.622,91.28,1.019
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-2,223.506,1.02779035395422,0.989544025041212,81106,3201491.691,26626.63,13.24161,234.723,163.351,0.057,12727.119,99.49,1.04
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-3,220.271,1.01291423521449,0.975221479243746,100177,3954279.993,32311.261,16.189476,238.938,175.917,0.048,16027.323,90.112,1.01
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-4,221.392,1.01806914374841,0.980184562346979,79541,3139716.551,29602.154,14.445386,205.578,157.069,0.045,14175.432,86.926,1.019
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-5,228.611,1.051265651069,1.01214575496271,80114,3162334.541,28209.011,14.253133,219.286,163.351,0.05,14030.328,96.221,1.016
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-6,222.274,1.02212501290713,0.984089503735963,98101,3872334.184,30996.187,15.136488,251.604,157.069,0.051,14639.371,94.776,1.034
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-7,218.544,1.00497264106812,0.967575409199782,77711,3067481.084,26951.184,13.167474,224.772,157.069,0.053,12960.813,92.473,1.016
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-8,228.923,1.05270038029521,1.01352709477378,83964,3314305.333,26519.62,12.901086,246.157,150.786,0.059,12681.988,97.114,1.017
col-0,rep_1,col-0-rep_1,col-0-Stained-rep_1-9,217.02,0.997964540617009,0.960828095507251,73031,2882747.758,24760.232,12.517838,228.309,163.351,0.059,12417.931,88.695,1.008
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-1,219.646,1.01004017827096,1.02439064203389,91803,3623733.653,31416.66,15.850207,225.364,131.938,0.046,15708.622,87.066,1.009
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-10,226.917,1.04347580712925,1.05830131811372,83744,3305621.288,28522.585,14.398892,227.938,138.22,0.051,14224.232,90.202,1.012
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-11,220.469,1.0138247364542,1.02822897051879,70101,2767092.065,25382.239,12.849568,213.505,125.655,0.054,12687.116,85.825,1.013
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-12,226.916,1.04347120863814,1.0582966542881,77936,3076362.494,25125.938,12.591975,238.006,144.503,0.061,12451.72,86.905,1.011
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-13,234.589,1.07875543092251,1.09408218826698,90729,3581339.724,28744.943,14.332296,243.086,175.917,0.054,14229.1,92.277,1.007
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-3,220.256,1.01284525784785,1.02723557566183,90293,3564129.525,31064.851,15.600155,224.432,125.655,0.046,15439.231,93.429,1.01
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-38,218.039,1.00265040305775,1.01689587426326,61814,2439979.871,23534.261,11.944852,202.136,119.372,0.055,11882.379,89.031,1.005
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-4,226.2,1.04017868900363,1.05495735514449,81527,3218109.796,26635.73,13.496691,238.616,144.503,0.057,13419.884,91.744,1.006
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-41,230.923,1.06189736251452,1.07698460354567,71285,2813828.017,25833.567,13.044333,217.417,125.655,0.053,12811.918,82.335,1.018
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-42,226.523,1.04166400163205,1.05646377081961,72420,2858629.796,25120.713,12.725169,223.386,138.22,0.057,12666.421,90.455,1.005
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-43,222.995,1.02544052499719,1.0400097940338,72592,2865419.141,26375.443,13.197631,210.434,157.069,0.052,13124.162,91.701,1.006
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-46,217.875,1.00189625051576,1.01613100686165,56304,2222484.011,21727.495,10.842857,198.336,119.372,0.059,10740.158,91.341,1.01
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-47,225.696,1.03786104948436,1.05260678703223,55128,2176063.842,21114.758,10.665683,203.577,119.372,0.061,10559.692,88.295,1.01
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-48,221.138,1.01690112700656,1.03134906985828,66114,2609713.482,22899.519,11.335425,227.614,138.22,0.063,11135.33,83.228,1.018
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-6,228.791,1.05209337946874,1.06704132732477,89209,3521340.866,30654.179,15.410415,225.454,138.22,0.047,15168.191,88.149,1.016
